etf_name,country_name,country_weighting
Core S&P 500 USD (Acc),United States,100.00
Core MSCI World USD (Acc),United States,70.29
Core MSCI World USD (Acc),Japan,6.03
Core MSCI World USD (Acc),United Kingdom,3.88
Core MSCI World USD (Acc),Canada,3.51
Core MSCI World USD (Acc),France,2.67
MSCI Semiconductors ESG (Acc),United States,68.23
MSCI Semiconductors ESG (Acc),Taiwan,16.27
MSCI Semiconductors ESG (Acc),Netherlands,7.08
MSCI Semiconductors ESG (Acc),Japan,3.54
MSCI Semiconductors ESG (Acc),South Korea,3.53
AI & Big Data USD (Acc),United States,74.98
AI & Big Data USD (Acc),South Korea,10.63
AI & Big Data USD (Acc),Hong Kong SAR China,5.12
AI & Big Data USD (Acc),Germany,3.06
AI & Big Data USD (Acc),China,2.08
MSCI EM USD (Acc),Taiwan,21.69
MSCI EM USD (Acc),China,21.32
MSCI EM USD (Acc),South Korea,16.62
MSCI EM USD (Acc),India,13.32
MSCI EM USD (Acc),South Africa,3.72
MSCI Japan SRI USD (Acc),Japan,96.94
MSCI Japan SRI USD (Acc),United States,3.06
